url,http_status,robots_meta,canonical,issues,pass
https://www.kinexisdigital.com/en,200,"index, follow",https://www.kinexisdigital.com/en,,true
https://www.kinexisdigital.com/es,200,"index, follow",https://www.kinexisdigital.com/es,,true
https://www.kinexisdigital.com/en/about,200,"index, follow",https://www.kinexisdigital.com/en/about,,true
https://www.kinexisdigital.com/es/about,200,"index, follow",https://www.kinexisdigital.com/es/about,,true
https://www.kinexisdigital.com/en/contact,200,"index, follow",https://www.kinexisdigital.com/en/contact,,true
https://www.kinexisdigital.com/es/contact,200,"index, follow",https://www.kinexisdigital.com/es/contact,,true
https://www.kinexisdigital.com/en/services,200,"index, follow",https://www.kinexisdigital.com/en/services,,true
https://www.kinexisdigital.com/es/services,200,"index, follow",https://www.kinexisdigital.com/es/services,,true
https://www.kinexisdigital.com/en/blog,200,"index, follow",https://www.kinexisdigital.com/en/blog,,true
https://www.kinexisdigital.com/es/blog,200,"index, follow",https://www.kinexisdigital.com/es/blog,,true
https://www.kinexisdigital.com/en/blog/posts,200,"index, follow",https://www.kinexisdigital.com/en/blog/posts,,true
https://www.kinexisdigital.com/es/blog/posts,200,"index, follow",https://www.kinexisdigital.com/es/blog/posts,,true
https://www.kinexisdigital.com/en/case-studies,200,"index, follow",https://www.kinexisdigital.com/en/case-studies,,true
https://www.kinexisdigital.com/es/case-studies,200,"index, follow",https://www.kinexisdigital.com/es/case-studies,,true
https://www.kinexisdigital.com/en/digital-marketing-agency,200,"index, follow",https://www.kinexisdigital.com/en/digital-marketing-agency,,true
https://www.kinexisdigital.com/es/digital-marketing-agency,200,"index, follow",https://www.kinexisdigital.com/es/digital-marketing-agency,,true
https://www.kinexisdigital.com/en/industries,200,"index, follow",https://www.kinexisdigital.com/en/industries,,true
https://www.kinexisdigital.com/es/industries,200,"index, follow",https://www.kinexisdigital.com/es/industries,,true
https://www.kinexisdigital.com/en/solutions,200,"index, follow",https://www.kinexisdigital.com/en/solutions,,true
https://www.kinexisdigital.com/es/solutions,200,"index, follow",https://www.kinexisdigital.com/es/solutions,,true
https://www.kinexisdigital.com/en/locations,200,"index, follow",https://www.kinexisdigital.com/en/locations,,true
