url,final_url,path,http_status,in_sitemap,indexable,intentional_noindex,robots_meta,title,title_length,meta_description,meta_description_length,meta_description_count,html_lang,html_lang_valid,h1_count,h1_text,issues,pass,error
https://www.kinexisdigital.com/en,https://www.kinexisdigital.com/en,/en,200,yes,yes,no,"index, follow",KINEXIS Digital - Turn Traffic Into Revenue,43,"Digital marketing agency building real sales systems. SEO, paid ads, web design, and conversion funnels designed to drive qualified leads.",138,1,en,true,1,WE DON'TGENERATE LEADS.WE BUILD MARKET DOMINANCE.,,true,
https://www.kinexisdigital.com/es,https://www.kinexisdigital.com/es,/es,200,yes,yes,no,"index, follow",KINEXIS Digital - Convierte el Tráfico en Ingresos,50,"Agencia de marketing digital que construye sistemas de ventas reales. SEO, anuncios pagados, diseño web y embudos de conversión para generar clientes…",150,1,es,true,1,NO GENERAMOSLEADS.CONSTRUIMOS DOMINIO DE MERCADO.,,true,
https://www.kinexisdigital.com/en/about,https://www.kinexisdigital.com/en/about,/en/about,200,yes,yes,no,"index, follow",About KINEXIS Digital | Growth Marketing Agency,47,"Meet the KINEXIS team. We build revenue systems through SEO, paid media, web design, and conversion optimization for growth-minded businesses.",142,1,en,true,1,Growth isn't random.It's engineered.,,true,
https://www.kinexisdigital.com/es/about,https://www.kinexisdigital.com/es/about,/es/about,200,yes,yes,no,"index, follow",Sobre KINEXIS Digital | Agencia de Marketing,44,"Conoce al equipo de KINEXIS. Construimos sistemas de ingresos con SEO, medios pagados, diseño web y optimización de conversión.",127,1,es,true,1,El crecimiento no es casual.Está diseñado.,,true,
https://www.kinexisdigital.com/en/contact,https://www.kinexisdigital.com/en/contact,/en/contact,200,yes,yes,no,"index, follow",Contact KINEXIS Digital | Book a Strategy Call,46,"Book a strategy call with KINEXIS, a digital marketing agency that builds real revenue systems. Share your goals and we'll outline a practical growth…",150,1,en,true,1,"Start with a conversation, not a pitch deck.",,true,
https://www.kinexisdigital.com/es/contact,https://www.kinexisdigital.com/es/contact,/es/contact,200,yes,yes,no,"index, follow",Contacto KINEXIS Digital | Reserva una Llamada,46,"Reserva una llamada estratégica con KINEXIS, una agencia de marketing digital que construye sistemas de ingresos reales. Comparte tus objetivos y…",146,1,es,true,1,"Empieza con una conversación, no con un pitch.",,true,
https://www.kinexisdigital.com/en/services,https://www.kinexisdigital.com/en/services,/en/services,200,yes,yes,no,"index, follow",Digital Marketing Services | KINEXIS Digital,44,"SEO, Google Ads, Meta Ads, web design, CRO, and analytics from one team. Full-service growth marketing for businesses that need revenue, not vanity…",148,1,en,true,1,One system.Fifteen channels.,,true,
https://www.kinexisdigital.com/es/services,https://www.kinexisdigital.com/es/services,/es/services,200,yes,yes,no,"index, follow",Servicios de Marketing Digital | KINEXIS Digital,48,"SEO, Google Ads, Meta Ads, diseño web, CRO y analítica en un solo equipo. Marketing de crecimiento para negocios que necesitan ingresos.",136,1,es,true,1,Un sistema.Quince canales.,,true,
https://www.kinexisdigital.com/en/blog,https://www.kinexisdigital.com/en/blog,/en/blog,200,yes,yes,no,"index, follow",Digital Marketing Blog | KINEXIS Digital,40,"Practical guides on SEO, paid ads, web design, and conversion from the KINEXIS team. No fluff — just strategies that work for service businesses and B2B…",153,1,en,true,1,Growthnotes.,,true,
https://www.kinexisdigital.com/es/blog,https://www.kinexisdigital.com/es/blog,/es/blog,200,yes,yes,no,"index, follow",Blog de Marketing Digital | KINEXIS Digital,43,"Guías prácticas sobre SEO, anuncios pagados, diseño web y conversión del equipo KINEXIS. Estrategias probadas para negocios de servicios y marcas B2B, sin…",155,1,es,true,1,Notas decrecimiento.,,true,
https://www.kinexisdigital.com/en/blog/posts,https://www.kinexisdigital.com/en/blog/posts,/en/blog/posts,200,yes,yes,no,"index, follow",All Blog Posts | KINEXIS Digital,32,"Browse every KINEXIS article on SEO, PPC, funnels, and growth marketing. Filter by topic or read the full archive for B2B and service business playbooks.",153,1,en,true,1,Allposts.,,true,
