PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,No. of all inlinks,First found at
10,http://www.kinexisdigital.com/en/services/ppc-management,Multi-Channel PPC Management | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/services/ppc-management,200,,,0,190,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/professional-services/medical-practices,Medical Practices Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/industries/professional-services/medical-practices,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/services/local-seo,Local SEO for Map Pack Rankings | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/services/local-seo,200,,,0,190,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/manufacturing/aerospace,Aerospace Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/industries/manufacturing/aerospace,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/locations/bogota,Digital Marketing Agency Bogotá | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/locations/bogota,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/locations/des-moines,Digital Marketing Agency Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/locations/des-moines,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/home-services/hvac,HVAC Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/industries/home-services/hvac,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/manufacturing/b2b-manufacturing,B2B Manufacturing Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/industries/manufacturing/b2b-manufacturing,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/local-seo-vs-google-ads,Local SEO vs Google Ads | Map Pack or Paid Search?,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/local-seo-vs-google-ads,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/ecommerce/online-retailers,Online Retailers Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife,Bars & Nightlife Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/industries/financial-services/wealth-management,Wealth Management Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/industries/financial-services/wealth-management,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/case-studies,Case Studies | KINEXIS Digital,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/case-studies,200,,,0,189,http://www.kinexisdigital.com/en
10,http://www.kinexisdigital.com/en/digital-marketing-agency,Digital Marketing Agency | KINEXIS Digital,text/html; charset=utf-8,false,200,0,false,https://www.kinexisdigital.com/en/digital-marketing-agency,200,,,0,189,http://www.kinexisdigital.com/en
